isp_id technology user_id mean_e2e_rtt mean_serv_latency operating_system median_e2e_rtt median_serv_latency sort_order
1 c 13 661.234906868078 227.281349985697 a 362.640142440796 286.090135574341 2
11 c 25 152.068121151952 105.976674266203 i 103.970050811768 91.5501117706299 5
11 c 7 138.496956913964 83.9642018122234 i 67.194938659668 54.6798706054688 5
11 c 35 435.858477222658 249.81276083589 i 219.609975814819 176.350116729736 5
11 c 15 410.536625562309 281.089146705977 i 239.899873733521 177.950143814087 5
11 c 11 234.764607546366 129.684939412363 a 110.020160675049 87.5799655914307 5
11 c 1 142.164125118337 91.0791415268127 i 80.9099674224854 59.0898990631104 5
11 c 12 253.207157963541 104.312284176166 i 121.879816055298 59.999942779541 5
15 c 13 661.234906868078 227.281349985697 a 111.2300157547 84.0500593185425 6
15 c 16 354.369135857695 132.580631718006 a 80.8401107788086 61.6199970245361 6
15 c 4 354.987470908038 195.447789752456 a 170.079946517944 141.935110092163 6
15 c 27 175.559204636198 85.0607924389117 a 70.7399845123291 57.439923286438 6
15 c 2 145.846715839732 104.722969885707 i 121.490001678467 99.2000102996826 6
15 c 6 459.310855004173 215.224486625136 a 225.899934768677 141.219854354858 6
15 c 24 347.382992076138 72.7627207792193 a 176.890015602112 60.6249570846558 6
17 c 4 354.987470908038 195.447789752456 a 135.685086250305 104.145050048828 8
18 c 2 145.846715839732 104.722969885707 i 57.84010887146 40.8902168273926 7
18 c 26 141.195459799333 -358.646365729245 a 87.8899097442627 54.1000366210938 7
18 c 18 498.474097406966 150.578566540749 i 159.075021743774 118.699908256531 7
23 c 8 701.192077140362 301.249415205236 i 397.685050964355 229.920148849487 4
23 c 28 751.300100526014 286.362235966184 a 260.664939880371 166.049957275391 4
25 c 5 165.524688562988 99.4856950425142 i 284.889936447144 203.185081481934 1
25 c 28 751.300100526014 286.362235966184 a 519.180059432983 427.545070648193 1
37 c 29 236.857458949089 79.8406153917313 a 107.12993144989 74.4448900222778 9
7 c 10 316.719007492065 226.295042037964 a 305.474877357483 273.490071296692 3
7 c 31 393.008023928795 177.358360671889 i 279.959917068481 114.289999008179 3
7 c 5 165.524688562988 99.4856950425142 i 92.4398899078369 62.730073928833 3
7 c 6 459.310855004173 215.224486625136 a 79.6399116516113 60.6999397277832 3
10 w 2 63.5994707427688 30.0350800967013 i 97.5251197814941 68.9699649810791 11
10 w 18 59.4297297736564 25.9675687447841 i 1160.74013710022 470.080137252808 11
10 w 1 132.086785048168 76.3351851146001 i 200.255036354065 169.665098190308 11
12 w 1 132.086785048168 76.3351851146001 i 283.289909362793 249.230146408081 23
13 w 2 63.5994707427688 30.0350800967013 i 66.3549900054932 43.3350801467896 29
13 w 1 132.086785048168 76.3351851146001 i 66.7600631713867 44.6701049804688 29
13 w 6 268.102261626605 101.361162600154 a 129.794955253601 31.0649871826172 29
13 w 5 573.908976416899 369.386550921514 i 413.97500038147 223.174929618835 29
13 w 35 53.1846206965164 23.2761361582568 i 33.3999395370483 10.2099180221558 29
14 w 2 63.5994707427688 30.0350800967013 i 61.1400604248047 38.409948348999 46
19 w 2 63.5994707427688 30.0350800967013 i 86.0497951507568 60.8599185943604 42
2 w 35 53.1846206965164 23.2761361582568 i 145.019769668579 136.629819869995 37
20 w 1 132.086785048168 76.3351851146001 i 277.339935302734 245.230197906494 24
21 w 1 132.086785048168 76.3351851146001 i 730.09991645813 496.109962463379 10
24 w 1 132.086785048168 76.3351851146001 i 278.909921646118 260.019779205322 22
26 w 2 63.5994707427688 30.0350800967013 i 73.4750032424927 66.0099983215332 41
26 w 1 132.086785048168 76.3351851146001 i 118.749976158142 75.6000280380249 41
26 w 4 173.097604148052 150.009378874742 a 86.4500999450684 71.8600749969482 41
27 w 24 225.382170420575 -4.43397093821047 a 155.959844589233 18.5201168060303 36
27 w 13 413.492889469116 203.645354989266 a 139.294981956482 68.6799287796021 36
27 w 1 132.086785048168 76.3351851146001 i 70.3499317169189 48.1500625610352 36
27 w 11 324.49880829378 152.310801077657 a 26.324987411499 15.3900384902954 36
27 w 7 43.8861169490434 27.4075068030973 i 22.169828414917 13.740062713623 36
27 w 2 63.5994707427688 30.0350800967013 i 27.6100635528564 13.0399465560913 36
27 w 4 173.097604148052 150.009378874742 a 150.445103645325 141.020059585571 36
27 w 15 155.189664539721 84.6307796548833 i 37.9300117492676 16.1101818084717 36
27 w 12 117.668933675339 52.7241187356062 i 42.2799587249756 17.5750255584717 36
27 w 16 335.290932804297 129.207595795716 a 79.9598693847656 61.690092086792 36
27 w 25 127.597623583443 23.0016976244711 i 34.7800254821777 15.7999992370605 36
